"ID предупреждения";"Текст предупреждения"
cannot_get_last_startup_time;"Не удалось получить время последнего старта устройства"
Идентификатор;"Тип прохода";"Временная метка"
21229974;"Выход";"2024-12-15 11:23:31"
21229975;"Вход";"2024-12-15 11:23:38"
21229976;"Выход";"2024-12-15 11:23:55"
21229977;"Выход";"2024-12-15 11:24:03"
21229978;"Вход";"2024-12-15 11:23:56"
21229979;"Выход";"2024-12-15 11:23:56"
21229980;"Выход";"2024-12-15 11:24:03"
21229981;"Вход";"2024-12-15 11:24:25"
21229982;"Вход";"2024-12-15 11:24:26"
21229983;"Выход";"2024-12-15 11:25:10"
21229984;"Выход";"2024-12-15 11:25:14"
21229985;"Выход";"2024-12-15 11:25:26"
21229988;"Выход";"2024-12-15 11:25:36"
21229989;"Вход";"2024-12-15 11:25:32"
21229990;"Вход";"2024-12-15 11:25:33"
21229991;"Вход";"2024-12-15 11:25:34"
21229992;"Вход";"2024-12-15 11:25:33"
21229993;"Вход";"2024-12-15 11:25:35"
21229994;"Вход";"2024-12-15 11:25:36"
21229995;"Вход";"2024-12-15 11:25:48"
21229996;"Вход";"2024-12-15 11:25:48"
21229997;"Выход";"2024-12-15 11:26:41"
21229998;"Выход";"2024-12-15 11:26:39"
21229999;"Выход";"2024-12-15 11:26:49"
21230000;"Выход";"2024-12-15 11:26:51"
21230001;"Вход";"2024-12-15 11:27:00"
21230002;"Выход";"2024-12-15 11:27:04"
21230003;"Выход";"2024-12-15 11:27:01"
21230004;"Выход";"2024-12-15 11:27:02"
21230005;"Выход";"2024-12-15 11:27:02"
21230006;"Выход";"2024-12-15 11:27:02"
21230007;"Выход";"2024-12-15 11:27:04"
21230008;"Выход";"2024-12-15 11:27:04"
21230009;"Выход";"2024-12-15 11:27:31"
21230010;"Выход";"2024-12-15 11:27:26"
21230011;"Выход";"2024-12-15 11:27:26"
21230012;"Вход";"2024-12-15 11:27:34"
21230013;"Вход";"2024-12-15 11:27:50"
21230014;"Вход";"2024-12-15 11:27:51"
21230015;"Выход";"2024-12-15 11:28:18"
21230016;"Вход";"2024-12-15 11:28:51"
21230017;"Вход";"2024-12-15 11:28:52"
21230018;"Вход";"2024-12-15 11:29:10"
21230019;"Вход";"2024-12-15 11:29:10"
21230020;"Вход";"2024-12-15 11:29:10"
21230021;"Вход";"2024-12-15 11:29:23"
21230022;"Вход";"2024-12-15 11:29:24"
21230023;"Выход";"2024-12-15 11:29:26"
21230024;"Выход";"2024-12-15 11:29:24"
21230025;"Вход";"2024-12-15 11:29:36"
21230026;"Вход";"2024-12-15 11:29:37"
21230027;"Вход";"2024-12-15 11:29:39"
21230028;"Вход";"2024-12-15 11:29:39"
21230029;"Выход";"2024-12-15 11:30:04"
21230030;"Вход";"2024-12-15 11:30:00"
21230031;"Вход";"2024-12-15 11:30:16"
21230032;"Вход";"2024-12-15 11:30:26"
21230033;"Выход";"2024-12-15 11:30:35"
21230034;"Выход";"2024-12-15 11:30:43"
21230035;"Выход";"2024-12-15 11:31:08"
21230036;"Выход";"2024-12-15 11:31:10"
21230037;"Выход";"2024-12-15 11:31:09"
21230038;"Выход";"2024-12-15 11:31:16"
21230039;"Выход";"2024-12-15 11:31:15"
21230040;"Выход";"2024-12-15 11:31:17"
21230041;"Выход";"2024-12-15 11:31:16"
21230042;"Выход";"2024-12-15 11:31:18"
21230043;"Выход";"2024-12-15 11:31:23"
21230044;"Выход";"2024-12-15 11:31:18"
21230045;"Выход";"2024-12-15 11:31:19"
21230052;"Выход";"2024-12-15 11:31:32"
21230053;"Выход";"2024-12-15 11:31:28"
21230054;"Выход";"2024-12-15 11:31:31"
21230055;"Выход";"2024-12-15 11:31:41"
21230056;"Выход";"2024-12-15 11:31:43"
21230057;"Выход";"2024-12-15 11:31:43"
21230058;"Выход";"2024-12-15 11:31:47"
21230059;"Выход";"2024-12-15 11:31:44"
21230060;"Вход";"2024-12-15 11:31:47"
21230061;"Выход";"2024-12-15 11:31:50"
21230062;"Выход";"2024-12-15 11:32:14"
21230063;"Выход";"2024-12-15 11:31:56"
21230068;"Вход";"2024-12-15 11:32:18"
21230069;"Вход";"2024-12-15 11:32:20"
21230070;"Вход";"2024-12-15 11:32:19"
21230071;"Выход";"2024-12-15 11:32:40"
